0   tensor(0.8721, grad_fn=<NllLossBackward>)
1   tensor(0.8077, grad_fn=<NllLossBackward>)
2   tensor(0.7380, grad_fn=<NllLossBackward>)
3   tensor(0.7048, grad_fn=<NllLossBackward>)
4   tensor(0.6795, grad_fn=<NllLossBackward>)
[1,     5] loss: 0.760
5   tensor(0.6850, grad_fn=<NllLossBackward>)
6   tensor(0.7238, grad_fn=<NllLossBackward>)
7   tensor(0.6599, grad_fn=<NllLossBackward>)
8   tensor(0.6922, grad_fn=<NllLossBackward>)
9   tensor(0.7137, grad_fn=<NllLossBackward>)
[1,    10] loss: 0.695
10   tensor(0.7082, grad_fn=<NllLossBackward>)
11   tensor(0.6845, grad_fn=<NllLossBackward>)
12   tensor(0.7021, grad_fn=<NllLossBackward>)
13   tensor(0.6400, grad_fn=<NllLossBackward>)
14   tensor(0.7407, grad_fn=<NllLossBackward>)
[1,    15] loss: 0.695
15   tensor(0.6886, grad_fn=<NllLossBackward>)
16   tensor(0.7353, grad_fn=<NllLossBackward>)
17   tensor(0.6769, grad_fn=<NllLossBackward>)
18   tensor(0.6375, grad_fn=<NllLossBackward>)
19   tensor(0.6963, grad_fn=<NllLossBackward>)
[1,    20] loss: 0.687
20   tensor(0.6799, grad_fn=<NllLossBackward>)
21   tensor(0.7046, grad_fn=<NllLossBackward>)
22   tensor(0.6876, grad_fn=<NllLossBackward>)
23   tensor(0.6805, grad_fn=<NllLossBackward>)
24   tensor(0.6862, grad_fn=<NllLossBackward>)
[1,    25] loss: 0.688
25   tensor(0.6796, grad_fn=<NllLossBackward>)
26   tensor(0.6571, grad_fn=<NllLossBackward>)
27   tensor(0.6927, grad_fn=<NllLossBackward>)
28   tensor(0.7238, grad_fn=<NllLossBackward>)
29   tensor(0.6676, grad_fn=<NllLossBackward>)
[1,    30] loss: 0.684
30   tensor(0.7000, grad_fn=<NllLossBackward>)
31   tensor(0.6778, grad_fn=<NllLossBackward>)
32   tensor(0.6821, grad_fn=<NllLossBackward>)
33   tensor(0.6832, grad_fn=<NllLossBackward>)
34   tensor(0.7503, grad_fn=<NllLossBackward>)
[1,    35] loss: 0.699
35   tensor(0.6571, grad_fn=<NllLossBackward>)
36   tensor(0.6426, grad_fn=<NllLossBackward>)
37   tensor(0.7336, grad_fn=<NllLossBackward>)
38   tensor(0.7327, grad_fn=<NllLossBackward>)
39   tensor(0.7087, grad_fn=<NllLossBackward>)
[1,    40] loss: 0.695
40   tensor(0.6456, grad_fn=<NllLossBackward>)
41   tensor(0.7462, grad_fn=<NllLossBackward>)
42   tensor(0.6960, grad_fn=<NllLossBackward>)
43   tensor(0.6838, grad_fn=<NllLossBackward>)
44   tensor(0.6513, grad_fn=<NllLossBackward>)
[1,    45] loss: 0.685
45   tensor(0.6919, grad_fn=<NllLossBackward>)
46   tensor(0.6939, grad_fn=<NllLossBackward>)
47   tensor(0.6809, grad_fn=<NllLossBackward>)
48   tensor(0.7054, grad_fn=<NllLossBackward>)
49   tensor(0.6973, grad_fn=<NllLossBackward>)
[1,    50] loss: 0.694
50   tensor(0.6923, grad_fn=<NllLossBackward>)
51   tensor(0.6950, grad_fn=<NllLossBackward>)
52   tensor(0.7061, grad_fn=<NllLossBackward>)
53   tensor(0.6257, grad_fn=<NllLossBackward>)
54   tensor(0.6850, grad_fn=<NllLossBackward>)
[1,    55] loss: 0.681
55   tensor(0.6815, grad_fn=<NllLossBackward>)
56   tensor(0.7179, grad_fn=<NllLossBackward>)
0   tensor(0.6517, grad_fn=<NllLossBackward>)
1   tensor(0.6480, grad_fn=<NllLossBackward>)
2   tensor(0.6834, grad_fn=<NllLossBackward>)
3   tensor(0.7149, grad_fn=<NllLossBackward>)
4   tensor(0.7963, grad_fn=<NllLossBackward>)
[2,     5] loss: 0.699
5   tensor(0.5983, grad_fn=<NllLossBackward>)
6   tensor(0.6182, grad_fn=<NllLossBackward>)
7   tensor(0.6763, grad_fn=<NllLossBackward>)
8   tensor(0.7974, grad_fn=<NllLossBackward>)
9   tensor(0.6182, grad_fn=<NllLossBackward>)
[2,    10] loss: 0.662
10   tensor(0.6819, grad_fn=<NllLossBackward>)
11   tensor(0.6572, grad_fn=<NllLossBackward>)
12   tensor(0.7470, grad_fn=<NllLossBackward>)
13   tensor(0.6726, grad_fn=<NllLossBackward>)
14   tensor(0.6778, grad_fn=<NllLossBackward>)
[2,    15] loss: 0.687
15   tensor(0.6357, grad_fn=<NllLossBackward>)
16   tensor(0.6964, grad_fn=<NllLossBackward>)
17   tensor(0.6612, grad_fn=<NllLossBackward>)
18   tensor(0.6431, grad_fn=<NllLossBackward>)
19   tensor(0.6982, grad_fn=<NllLossBackward>)
[2,    20] loss: 0.667
20   tensor(0.6352, grad_fn=<NllLossBackward>)
21   tensor(0.6384, grad_fn=<NllLossBackward>)
22   tensor(0.6484, grad_fn=<NllLossBackward>)
23   tensor(0.6673, grad_fn=<NllLossBackward>)
24   tensor(0.7349, grad_fn=<NllLossBackward>)
[2,    25] loss: 0.665
25   tensor(0.5759, grad_fn=<NllLossBackward>)
26   tensor(0.7283, grad_fn=<NllLossBackward>)
27   tensor(0.6040, grad_fn=<NllLossBackward>)
28   tensor(0.6439, grad_fn=<NllLossBackward>)
29   tensor(0.7353, grad_fn=<NllLossBackward>)
[2,    30] loss: 0.657
30   tensor(0.6500, grad_fn=<NllLossBackward>)
31   tensor(0.7045, grad_fn=<NllLossBackward>)
32   tensor(0.7038, grad_fn=<NllLossBackward>)
33   tensor(0.6541, grad_fn=<NllLossBackward>)
34   tensor(0.7252, grad_fn=<NllLossBackward>)
[2,    35] loss: 0.688
35   tensor(0.6655, grad_fn=<NllLossBackward>)
36   tensor(0.6203, grad_fn=<NllLossBackward>)
37   tensor(0.7384, grad_fn=<NllLossBackward>)
38   tensor(0.5598, grad_fn=<NllLossBackward>)
39   tensor(0.6671, grad_fn=<NllLossBackward>)
[2,    40] loss: 0.650
40   tensor(0.6890, grad_fn=<NllLossBackward>)
41   tensor(0.6831, grad_fn=<NllLossBackward>)
42   tensor(0.7151, grad_fn=<NllLossBackward>)
43   tensor(0.6915, grad_fn=<NllLossBackward>)
44   tensor(0.6559, grad_fn=<NllLossBackward>)
[2,    45] loss: 0.687
45   tensor(0.7115, grad_fn=<NllLossBackward>)
46   tensor(0.6541, grad_fn=<NllLossBackward>)
47   tensor(0.6516, grad_fn=<NllLossBackward>)
48   tensor(0.6683, grad_fn=<NllLossBackward>)
49   tensor(0.6745, grad_fn=<NllLossBackward>)
[2,    50] loss: 0.672
50   tensor(0.6512, grad_fn=<NllLossBackward>)
51   tensor(0.7054, grad_fn=<NllLossBackward>)
52   tensor(0.6819, grad_fn=<NllLossBackward>)
53   tensor(0.6600, grad_fn=<NllLossBackward>)
54   tensor(0.6608, grad_fn=<NllLossBackward>)
[2,    55] loss: 0.672
55   tensor(0.6611, grad_fn=<NllLossBackward>)
56   tensor(0.6178, grad_fn=<NllLossBackward>)
0   tensor(0.7052, grad_fn=<NllLossBackward>)
1   tensor(0.6716, grad_fn=<NllLossBackward>)
2   tensor(0.6302, grad_fn=<NllLossBackward>)
3   tensor(0.6313, grad_fn=<NllLossBackward>)
4   tensor(0.7209, grad_fn=<NllLossBackward>)
[3,     5] loss: 0.672
5   tensor(0.6602, grad_fn=<NllLossBackward>)
6   tensor(0.6718, grad_fn=<NllLossBackward>)
7   tensor(0.7326, grad_fn=<NllLossBackward>)
8   tensor(0.5939, grad_fn=<NllLossBackward>)
9   tensor(0.7186, grad_fn=<NllLossBackward>)
[3,    10] loss: 0.675
10   tensor(0.7881, grad_fn=<NllLossBackward>)
11   tensor(0.6200, grad_fn=<NllLossBackward>)
12   tensor(0.6299, grad_fn=<NllLossBackward>)
13   tensor(0.6260, grad_fn=<NllLossBackward>)
14   tensor(0.5667, grad_fn=<NllLossBackward>)
[3,    15] loss: 0.646
15   tensor(0.6888, grad_fn=<NllLossBackward>)
16   tensor(0.6489, grad_fn=<NllLossBackward>)
17   tensor(0.7063, grad_fn=<NllLossBackward>)
18   tensor(0.7236, grad_fn=<NllLossBackward>)
19   tensor(0.7217, grad_fn=<NllLossBackward>)
[3,    20] loss: 0.698
20   tensor(0.6890, grad_fn=<NllLossBackward>)
21   tensor(0.6025, grad_fn=<NllLossBackward>)
22   tensor(0.6498, grad_fn=<NllLossBackward>)
23   tensor(0.6608, grad_fn=<NllLossBackward>)
24   tensor(0.6304, grad_fn=<NllLossBackward>)
[3,    25] loss: 0.646
25   tensor(0.6537, grad_fn=<NllLossBackward>)
26   tensor(0.6155, grad_fn=<NllLossBackward>)
27   tensor(0.6660, grad_fn=<NllLossBackward>)
28   tensor(0.6382, grad_fn=<NllLossBackward>)
29   tensor(0.5846, grad_fn=<NllLossBackward>)
[3,    30] loss: 0.632
30   tensor(0.5929, grad_fn=<NllLossBackward>)
31   tensor(0.6980, grad_fn=<NllLossBackward>)
32   tensor(0.6660, grad_fn=<NllLossBackward>)
33   tensor(0.6646, grad_fn=<NllLossBackward>)
34   tensor(0.6497, grad_fn=<NllLossBackward>)
[3,    35] loss: 0.654
35   tensor(0.6830, grad_fn=<NllLossBackward>)
36   tensor(0.6109, grad_fn=<NllLossBackward>)
37   tensor(0.6316, grad_fn=<NllLossBackward>)
38   tensor(0.5993, grad_fn=<NllLossBackward>)
39   tensor(0.7369, grad_fn=<NllLossBackward>)
[3,    40] loss: 0.652
40   tensor(0.6938, grad_fn=<NllLossBackward>)
41   tensor(0.6722, grad_fn=<NllLossBackward>)
42   tensor(0.6365, grad_fn=<NllLossBackward>)
43   tensor(0.6579, grad_fn=<NllLossBackward>)
44   tensor(0.5848, grad_fn=<NllLossBackward>)
[3,    45] loss: 0.649
45   tensor(0.6907, grad_fn=<NllLossBackward>)
46   tensor(0.5891, grad_fn=<NllLossBackward>)
47   tensor(0.5764, grad_fn=<NllLossBackward>)
48   tensor(0.7042, grad_fn=<NllLossBackward>)
49   tensor(0.6648, grad_fn=<NllLossBackward>)
[3,    50] loss: 0.645
50   tensor(0.6739, grad_fn=<NllLossBackward>)
51   tensor(0.7167, grad_fn=<NllLossBackward>)
52   tensor(0.6046, grad_fn=<NllLossBackward>)
53   tensor(0.6503, grad_fn=<NllLossBackward>)
54   tensor(0.5335, grad_fn=<NllLossBackward>)
[3,    55] loss: 0.636
55   tensor(0.7201, grad_fn=<NllLossBackward>)
56   tensor(0.5343, grad_fn=<NllLossBackward>)
0   tensor(0.5319, grad_fn=<NllLossBackward>)
1   tensor(0.6379, grad_fn=<NllLossBackward>)
2   tensor(0.6394, grad_fn=<NllLossBackward>)
3   tensor(0.4823, grad_fn=<NllLossBackward>)
4   tensor(0.6810, grad_fn=<NllLossBackward>)
[4,     5] loss: 0.595
5   tensor(0.4754, grad_fn=<NllLossBackward>)
6   tensor(0.9034, grad_fn=<NllLossBackward>)
7   tensor(0.8475, grad_fn=<NllLossBackward>)
8   tensor(0.7298, grad_fn=<NllLossBackward>)
9   tensor(0.8224, grad_fn=<NllLossBackward>)
[4,    10] loss: 0.756
10   tensor(0.5208, grad_fn=<NllLossBackward>)
11   tensor(0.5876, grad_fn=<NllLossBackward>)
12   tensor(0.6465, grad_fn=<NllLossBackward>)
13   tensor(0.6447, grad_fn=<NllLossBackward>)
14   tensor(0.5941, grad_fn=<NllLossBackward>)
[4,    15] loss: 0.599
15   tensor(0.6457, grad_fn=<NllLossBackward>)
16   tensor(0.6321, grad_fn=<NllLossBackward>)
17   tensor(0.6258, grad_fn=<NllLossBackward>)
18   tensor(0.6516, grad_fn=<NllLossBackward>)
19   tensor(0.5790, grad_fn=<NllLossBackward>)
[4,    20] loss: 0.627
20   tensor(0.6877, grad_fn=<NllLossBackward>)
21   tensor(0.6385, grad_fn=<NllLossBackward>)
22   tensor(0.6058, grad_fn=<NllLossBackward>)
23   tensor(0.5483, grad_fn=<NllLossBackward>)
24   tensor(0.5647, grad_fn=<NllLossBackward>)
[4,    25] loss: 0.609
25   tensor(0.6371, grad_fn=<NllLossBackward>)
26   tensor(0.6472, grad_fn=<NllLossBackward>)
27   tensor(0.6292, grad_fn=<NllLossBackward>)
28   tensor(0.5956, grad_fn=<NllLossBackward>)
29   tensor(0.5870, grad_fn=<NllLossBackward>)
[4,    30] loss: 0.619
30   tensor(0.7231, grad_fn=<NllLossBackward>)
31   tensor(0.6309, grad_fn=<NllLossBackward>)
32   tensor(0.6839, grad_fn=<NllLossBackward>)
33   tensor(0.6665, grad_fn=<NllLossBackward>)
34   tensor(0.6101, grad_fn=<NllLossBackward>)
[4,    35] loss: 0.663
35   tensor(0.6204, grad_fn=<NllLossBackward>)
36   tensor(0.6524, grad_fn=<NllLossBackward>)
37   tensor(0.6706, grad_fn=<NllLossBackward>)
38   tensor(0.6025, grad_fn=<NllLossBackward>)
39   tensor(0.6367, grad_fn=<NllLossBackward>)
[4,    40] loss: 0.637
40   tensor(0.6468, grad_fn=<NllLossBackward>)
41   tensor(0.6373, grad_fn=<NllLossBackward>)
42   tensor(0.6015, grad_fn=<NllLossBackward>)
43   tensor(0.5818, grad_fn=<NllLossBackward>)
44   tensor(0.5939, grad_fn=<NllLossBackward>)
[4,    45] loss: 0.612
45   tensor(0.6075, grad_fn=<NllLossBackward>)
46   tensor(0.6076, grad_fn=<NllLossBackward>)
47   tensor(0.5331, grad_fn=<NllLossBackward>)
48   tensor(0.6548, grad_fn=<NllLossBackward>)
49   tensor(0.6769, grad_fn=<NllLossBackward>)
[4,    50] loss: 0.616
50   tensor(0.6189, grad_fn=<NllLossBackward>)
51   tensor(0.7163, grad_fn=<NllLossBackward>)
52   tensor(0.6468, grad_fn=<NllLossBackward>)
53   tensor(0.6359, grad_fn=<NllLossBackward>)
54   tensor(0.5931, grad_fn=<NllLossBackward>)
[4,    55] loss: 0.642
55   tensor(0.6135, grad_fn=<NllLossBackward>)
56   tensor(0.6954, grad_fn=<NllLossBackward>)
0   tensor(0.5984, grad_fn=<NllLossBackward>)
1   tensor(0.5822, grad_fn=<NllLossBackward>)
2   tensor(0.8005, grad_fn=<NllLossBackward>)
3   tensor(0.6593, grad_fn=<NllLossBackward>)
4   tensor(0.6570, grad_fn=<NllLossBackward>)
[5,     5] loss: 0.659
5   tensor(0.6677, grad_fn=<NllLossBackward>)
6   tensor(0.6551, grad_fn=<NllLossBackward>)
7   tensor(0.6396, grad_fn=<NllLossBackward>)
8   tensor(0.6513, grad_fn=<NllLossBackward>)
9   tensor(0.6401, grad_fn=<NllLossBackward>)
[5,    10] loss: 0.651
10   tensor(0.6088, grad_fn=<NllLossBackward>)
11   tensor(0.5140, grad_fn=<NllLossBackward>)
12   tensor(0.6356, grad_fn=<NllLossBackward>)
13   tensor(0.6291, grad_fn=<NllLossBackward>)
14   tensor(0.6584, grad_fn=<NllLossBackward>)
[5,    15] loss: 0.609
15   tensor(0.5955, grad_fn=<NllLossBackward>)
16   tensor(0.6304, grad_fn=<NllLossBackward>)
17   tensor(0.6052, grad_fn=<NllLossBackward>)
18   tensor(0.6252, grad_fn=<NllLossBackward>)
19   tensor(0.6205, grad_fn=<NllLossBackward>)
[5,    20] loss: 0.615
20   tensor(0.6034, grad_fn=<NllLossBackward>)
21   tensor(0.6517, grad_fn=<NllLossBackward>)
22   tensor(0.6093, grad_fn=<NllLossBackward>)
23   tensor(0.7125, grad_fn=<NllLossBackward>)
24   tensor(0.8062, grad_fn=<NllLossBackward>)
[5,    25] loss: 0.677
25   tensor(0.5696, grad_fn=<NllLossBackward>)
26   tensor(0.5805, grad_fn=<NllLossBackward>)
27   tensor(0.6373, grad_fn=<NllLossBackward>)
28   tensor(0.5671, grad_fn=<NllLossBackward>)
29   tensor(0.6334, grad_fn=<NllLossBackward>)
[5,    30] loss: 0.598
30   tensor(0.7082, grad_fn=<NllLossBackward>)
31   tensor(0.5719, grad_fn=<NllLossBackward>)
32   tensor(0.7101, grad_fn=<NllLossBackward>)
33   tensor(0.6763, grad_fn=<NllLossBackward>)
34   tensor(0.5961, grad_fn=<NllLossBackward>)
[5,    35] loss: 0.653
35   tensor(0.6445, grad_fn=<NllLossBackward>)
36   tensor(0.5837, grad_fn=<NllLossBackward>)
37   tensor(0.5692, grad_fn=<NllLossBackward>)
38   tensor(0.6391, grad_fn=<NllLossBackward>)
39   tensor(0.5927, grad_fn=<NllLossBackward>)
[5,    40] loss: 0.606
40   tensor(0.7227, grad_fn=<NllLossBackward>)
41   tensor(0.6884, grad_fn=<NllLossBackward>)
42   tensor(0.6806, grad_fn=<NllLossBackward>)
43   tensor(0.7059, grad_fn=<NllLossBackward>)
44   tensor(0.5473, grad_fn=<NllLossBackward>)
[5,    45] loss: 0.669
45   tensor(0.6638, grad_fn=<NllLossBackward>)
46   tensor(0.5449, grad_fn=<NllLossBackward>)
